Species,Tree #,Height (m),D1.10,Crown width (m),Ave Leaf Height (m),Lowest leaf height (m),Crown length
Pouroma bicolor,32,3,1.95,0.67,2.44,1.65,
Pouroma bicolor,33,1.51,1.08,0.65,1.33,1.13,
Pouroma bicolor,34,11.4,8.89,3.9,9.7,7.7,
Pouroma bicolor,35,30.8,57,12.75,26,19.7,
Pouroma bicolor,36,1.4,1.02,0.8,1.23,1.1,
Pouroma bicolor,37,1.35,1.22,1.19,1.06,0.72,
Pouroma bicolor,38,2.3,1.64,1.24,1.92,1.52,
Pouroma bicolor,39,1.54,1.16,0.76,1.35,1.1,
Pouroma bicolor,40,1.26,0.87,0.67,1.08,0.97,
Pouroma bicolor,41,14.2,8.77,3.4,12.4,7.3,
Pouroma bicolor,42,5.6,3.44,1.15,4.9,0.82,
Pouroma bicolor,43,2.64,1.61,1.1,2.27,1.97,
Rinorea deflexiflora,,4.8,4.65,3.31,3.75,1.82,2.98
Rinorea deflexiflora,,1.13,1.01,0.63,,,
Rinorea deflexiflora,,5.7,9.08,5.07,5,3.4,2.3
Rinorea deflexiflora,,7.4,11.7,5.11,6,2.9,4.5
Rinorea deflexiflora,,0.73,0.975,0.6,,,
Rinorea deflexiflora,,4.45,4,2.09,3.2,1.3,3.15
Rinorea deflexiflora,,4,6.94,4.24,3.4,1.3,2.7
Rinorea deflexiflora,,3.18,4.41,2.51,2.62,1.2,1.98
Rinorea deflexiflora,,1.68,1.34,0.92,1.4,,
Rinorea deflexiflora,,4.75,3.74,2.14,4.2,2,2.75
Rinorea deflexiflora,,6.9,7.26,3.8,,3.35,3.55
