SPEC,species,family,pft,growth period,age,growingCondition,light,plant #,harvest #,m.rt,m.st,m.so,m.to,m.lf,m.br,m.to2,a.lf,ma.ilf,a.ilf,c.d,h.t,d.ba,d.cr,d.cr2,a.cp,r.st
CED,Cedrela odorata,Meliaceae,DA,194,,CG,6,11,2,3.07,4.95,8.755,11.829,3.81,,11.83,0.1876,0.02,170.5,,48,0.87,,,,0.18
CED,Cedrela odorata,Meliaceae,DA,194,,CG,6,12,2,3.12,3.496,5.51,8.626,2.01,,8.63,0.0846,0.024,169.3,,25,0.85,,,,0.25
CED,Cedrela odorata,Meliaceae,DA,194,,CG,12,1,2,1.06,1.287,1.856,2.918,0.57,,2.92,0.0207,0.027,69,,28,0.49,,,,0.24
CED,Cedrela odorata,Meliaceae,DA,194,,CG,12,2,2,0.61,0.858,1.884,2.492,1.03,,2.49,0.0451,0.023,75.1,,24,0.44,,,,0.24
CED,Cedrela odorata,Meliaceae,DA,194,,CG,12,4,2,2.37,1.675,2.995,5.369,1.32,,5.37,0.0526,0.025,87.6,,23,0.56,,,,0.3
CED,Cedrela odorata,Meliaceae,DA,194,,CG,12,5,2,2.45,2.618,4.921,7.367,2.3,,7.37,0.0913,0.025,114.1,,39,0.6,,,,0.24
CED,Cedrela odorata,Meliaceae,DA,194,,CG,12,6,2,4.09,5.95,9.608,13.702,3.66,,13.7,0.1302,0.028,130.2,,53,0.86,,,,0.2
CED,Cedrela odorata,Meliaceae,DA,194,,CG,12,7,2,1.59,2.044,3.261,4.854,1.22,,4.85,0.0471,0.026,78.5,,28,0.55,,,,0.31
CED,Cedrela odorata,Meliaceae,DA,194,,CG,12,8,2,3.79,8.385,21.734,25.526,13.35,,25.53,0.4869,0.027,374.5,,60,1.06,,,,0.16
CED,Cedrela odorata,Meliaceae,DA,194,,CG,12,9,2,2.93,3.076,4.968,7.898,1.89,,7.9,0.0762,0.025,127,,36,0.75,,,,0.2
CED,Cedrela odorata,Meliaceae,DA,194,,CG,12,10,2,2.76,4.706,7.056,9.818,2.35,,9.82,0.0996,0.024,142.3,,44,0.88,,,,0.18
CED,Cedrela odorata,Meliaceae,DA,194,,CG,12,11,2,2.89,4.09,5.728,8.616,1.64,,8.62,0.0656,0.025,93.7,,41,0.8,,,,0.2
CED,Cedrela odorata,Meliaceae,DA,194,,CG,12,12,2,1.41,2.776,6.082,7.488,3.31,,7.49,0.108,0.031,154.2,,32,0.66,,,,0.25
CED,Cedrela odorata,Meliaceae,DA,194,,CG,25,1,2,2.64,2.59,4.423,7.063,1.83,,7.06,0.0541,0.034,77.3,,29,0.67,,,,0.26
CED,Cedrela odorata,Meliaceae,DA,194,,CG,25,2,2,2.28,3.334,4.601,6.877,1.27,,6.88,0.0322,0.039,107.4,,30,0.71,,,,0.28
CED,Cedrela odorata,Meliaceae,DA,194,,CG,25,4,2,1.89,1.24,2.397,4.282,1.16,,4.28,0.0365,0.032,52.2,,18,0.49,,,,0.37
CED,Cedrela odorata,Meliaceae,DA,194,,CG,25,5,2,2.33,2.388,4.527,6.857,2.14,,6.86,0.0621,0.034,103.5,,36,0.61,,,,0.23
CED,Cedrela odorata,Meliaceae,DA,194,,CG,25,6,2,2.55,2.562,4.563,7.109,2,,7.11,0.0556,0.036,139.1,,30,0.76,,,,0.19
CED,Cedrela odorata,Meliaceae,DA,194,,CG,25,7,2,5.32,5.635,8.463,13.778,2.83,,13.78,0.0846,0.033,93.9,,41,0.96,,,,0.19
CED,Cedrela odorata,Meliaceae,DA,194,,CG,25,8,2,4.38,3.28,4.839,9.223,1.56,,9.22,0.0443,0.035,88.6,,26,0.89,,,,0.21
CED,Cedrela odorata,Meliaceae,DA,194,,CG,25,9,2,4.63,3.75,7.78,12.414,4.03,,12.41,0.1445,0.028,180.6,,31,0.8,,,,0.24
CED,Cedrela odorata,Meliaceae,DA,194,,CG,25,10,2,3.07,3.122,5.383,8.455,2.26,,8.46,0.0729,0.031,104.2,,30,0.72,,,,0.26
CED,Cedrela odorata,Meliaceae,DA,194,,CG,25,11,2,3.73,3.398,5.434,9.166,2.04,,9.17,0.0577,0.035,144.2,,32,0.75,,,,0.24
CED,Cedrela odorata,Meliaceae,DA,194,,CG,25,12,2,2.73,2.694,5.265,7.995,2.57,,8,0.0798,0.032,159.7,,31,0.68,,,,0.24
CED,Cedrela odorata,Meliaceae,DA,194,,CG,50,2,2,3.82,2.64,5.419,9.237,2.78,,9.24,0.0758,0.037,108.3,,28,0.67,,,,0.27
CED,Cedrela odorata,Meliaceae,DA,194,,CG,50,3,2,4.94,3.562,6.506,11.446,2.94,,11.45,0.0688,0.043,68.8,,32,0.74,,,,0.26
CED,Cedrela odorata,Meliaceae,DA,194,,CG,50,4,2,5.33,4.718,8.129,13.459,3.41,,13.46,0.0928,0.037,103.2,,27,0.89,,,,0.28
CED,Cedrela odorata,Meliaceae,DA,194,,CG,50,5,2,5.47,4.152,8.197,13.662,4.05,,13.66,0.1105,0.037,122.8,,36,0.72,,,,0.28
CED,Cedrela odorata,Meliaceae,DA,194,,CG,50,6,2,2.9,2.026,3.758,6.658,1.73,,6.66,0.0513,0.034,64.2,,28,0.69,,,,0.19
CED,Cedrela odorata,Meliaceae,DA,194,,CG,50,7,2,2.84,2.334,4.097,6.933,1.76,,6.93,0.0462,0.038,66,,26,0.64,,,,0.28
CED,Cedrela odorata,Meliaceae,DA,194,,CG,50,8,2,1.98,1.587,3.04,5.02,1.45,,5.02,0.038,0.038,54.3,,24,0.54,,,,0.29
CED,Cedrela odorata,Meliaceae,DA,194,,CG,50,9,2,5.34,4.922,7.292,12.632,2.37,,12.63,0.056,0.042,70,,33,0.91,,,,0.23
CED,Cedrela odorata,Meliaceae,DA,194,,CG,50,10,2,3.17,2.756,3.801,6.973,1.05,,6.97,0.0208,0.05,51.9,,22,0.75,,,,0.28
CED,Cedrela odorata,Meliaceae,DA,194,,CG,50,11,2,3.31,3.974,5.336,8.65,1.36,,8.65,0.034,0.04,85.1,,38,0.83,,,,0.19
CED,Cedrela odorata,Meliaceae,DA,194,,CG,50,12,2,3.9,3.742,5.782,9.682,2.04,,9.68,0.0445,0.046,74.2,,29,0.86,,,,0.22
CED,Cedrela odorata,Meliaceae,DA,194,,CG,100,1,2,3.96,3.46,5.755,9.715,2.3,,9.72,0.0428,0.054,47.6,,26,0.7,,,,0.35
CED,Cedrela odorata,Meliaceae,DA,194,,CG,100,2,2,0.87,0.914,1.55,2.421,0.64,,2.42,0.0145,0.044,36.3,,18,0.39,,,,0.43
CED,Cedrela odorata,Meliaceae,DA,194,,CG,100,3,2,5.15,4.414,5.911,11.061,1.5,,11.06,0.0294,0.051,58.8,,29,0.83,,,,0.28
CED,Cedrela odorata,Meliaceae,DA,194,,CG,100,4,2,2.87,2.794,4.407,7.281,1.61,,7.28,0.0327,0.049,65.4,,34,0.63,,,,0.27
CED,Cedrela odorata,Meliaceae,DA,194,,CG,100,5,2,1.9,1.342,3.05,4.948,1.71,,4.95,0.0441,0.039,73.5,,23,0.48,,,,0.33
CED,Cedrela odorata,Meliaceae,DA,194,,CG,100,9,2,0.96,0.805,1.015,1.972,0.21,,1.97,0.0085,0.025,21.2,,21,0.53,,,,0.18
CED,Cedrela odorata,Meliaceae,DA,194,,CG,100,10,2,1.59,1.313,1.886,3.474,0.57,,3.47,0.0131,0.044,21.8,,19,0.34,,,,0.78
CED,Cedrela odorata,Meliaceae,DA,194,,CG,100,11,2,0.77,0.932,1.415,2.185,0.48,,2.19,0.0096,0.051,31.9,,19,0.38,,,,0.43
CED,Cedrela odorata,Meliaceae,DA,0,,CG,3,1,1,0.105,0.203,0.436,0.541,0.233,,0.54,0.0156,0.015,31.2,,15.8,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,3,2,1,0.043,0.142,0.237,0.28,0.095,,0.28,0.0054,0.018,10.8,,20.2,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,3,3,1,0.065,0.137,0.266,0.331,0.129,,0.33,0.0076,0.017,19.1,,15.3,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,3,4,1,0.062,0.146,0.272,0.334,0.126,,0.33,0.0077,0.016,19.2,,17.8,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,3,5,1,0.062,0.143,0.205,0.267,0.062,,0.27,0.0038,0.016,9.4,,18.1,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,3,6,1,0.058,0.175,0.238,0.296,0.063,,0.3,0.0034,0.018,8.6,,19.2,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,3,7,1,0.055,0.074,0.19,0.245,0.116,,0.25,0.0077,0.015,19.2,,10.6,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,3,8,1,0.05,0.073,0.166,0.216,0.093,,0.22,0.006,0.015,12.1,,11.2,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,6,1,1,0.135,0.276,0.46,0.595,0.184,,0.6,0.0104,0.018,20.8,,20,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,6,2,1,0.126,0.195,0.377,0.503,0.182,,0.5,0.0098,0.019,19.6,,20.6,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,6,3,1,0.092,0.114,0.211,0.303,0.097,,0.3,0.0057,0.017,11.5,,15.2,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,6,4,1,0.068,0.102,0.199,0.267,0.097,,0.27,0.0059,0.016,11.8,,17.4,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,6,5,1,0.099,0.193,0.372,0.471,0.179,,0.47,0.0086,0.021,21.6,,14.6,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,6,6,1,0.076,0.139,0.255,0.331,0.116,,0.33,,,,,14,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,6,7,1,0.04,0.053,0.096,0.136,0.043,,0.14,0.0024,0.018,5.9,,15.3,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,6,8,1,0.028,0.054,0.113,0.141,0.059,,0.14,0.0038,0.016,9.5,,12.5,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,12,1,1,0.243,0.294,0.609,0.852,0.315,,0.85,0.0131,0.024,32.8,,21.6,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,12,2,1,0.15,0.218,0.422,0.572,0.204,,0.57,0.0094,0.022,23.4,,15.3,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,12,3,1,0.108,0.154,0.318,0.426,0.164,,0.43,0.0076,0.022,18.9,,15.4,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,12,4,1,0.127,0.157,0.334,0.461,0.177,,0.46,0.0085,0.021,21.3,,17.1,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,12,5,1,0.083,0.113,0.228,0.311,0.115,,0.31,0.005,0.023,12.4,,13.7,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,12,6,1,0.045,0.075,0.156,0.201,0.081,,0.2,0.0039,0.021,4.9,,14.9,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,12,7,1,0.057,0.099,0.174,0.231,0.075,,0.23,0.0039,0.019,7.8,,14.6,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,12,8,1,0.059,0.072,0.144,0.203,0.072,,0.2,0.0036,0.02,9,,11.2,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,25,1,1,0.249,0.271,0.581,0.83,0.31,,0.83,0.0119,0.026,23.8,,15.6,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,25,2,1,0.229,0.231,0.522,0.751,0.291,,0.75,0.0117,0.025,29.2,,12.4,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,25,3,1,0.192,0.281,0.55,0.742,0.269,,0.74,0.0104,0.026,26.1,,15.6,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,25,4,1,0.111,0.159,0.336,0.447,0.177,,0.45,0.0072,0.025,12,,17.1,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,25,5,1,0.127,0.129,0.249,0.376,0.12,,0.38,0.0056,0.022,11.2,,15.2,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,25,6,1,0.111,0.157,0.276,0.387,0.119,,0.39,0.0049,0.024,9.9,,14.7,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,25,7,1,0.112,0.202,0.361,0.473,0.159,,0.47,0.0058,0.027,14.5,,15.6,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,25,8,1,0.069,0.124,0.201,0.27,0.077,,0.27,0.003,0.026,10,,14.6,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,50,1,1,0.211,0.256,0.449,0.66,0.193,,0.66,0.0074,0.026,24.7,,17.1,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,50,2,1,0.071,0.073,0.123,0.194,0.05,,0.19,0.0018,0.027,3.1,,9.8,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,50,3,1,0.175,0.239,0.454,0.629,0.215,,0.63,0.0078,0.027,19.6,,14.4,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,50,4,1,0.213,0.213,0.426,0.639,0.213,,0.64,0.0082,0.026,16.5,,16.4,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,50,5,1,0.022,0.046,0.073,0.095,0.027,,0.1,0.0013,0.02,6.6,,7.7,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,50,6,1,0.029,0.029,0.065,0.094,0.036,,0.09,0.0014,0.026,3.4,,9.9,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,50,7,1,0.143,0.169,0.276,0.419,0.107,,0.42,0.0038,0.028,9.5,,14.4,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,50,8,1,0.112,0.17,0.283,0.395,0.113,,0.4,0.0043,0.026,10.8,,17.2,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,100,1,1,0.311,0.348,0.617,0.928,0.269,,0.93,0.009,0.03,22.6,,18.5,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,100,2,1,0.138,0.17,0.329,0.467,0.159,,0.47,0.0058,0.027,14.5,,16.9,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,100,3,1,0.164,0.298,0.472,0.636,0.174,,0.64,0.0079,0.022,15.9,,15.9,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,100,4,1,0.127,0.167,0.321,0.448,0.154,,0.45,0.0059,0.026,14.9,,16.3,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,100,5,1,0.129,0.257,0.437,0.566,0.18,,0.57,0.0067,0.027,16.8,,17.6,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,100,6,1,0.09,0.141,0.226,0.316,0.085,,0.32,0.0031,0.027,10.3,,12.6,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,100,7,1,0.102,0.105,0.172,0.274,0.067,,0.27,0.0028,0.024,6.9,,13.4,,,,,
CED,Cedrela odorata,Meliaceae,DA,0,,CG,100,8,1,0.066,0.083,0.121,0.187,0.038,,0.19,0.0015,0.025,5.1,,13.5,,,,,
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,3,1,2,0.54,1.3,3.38,3.92,2.08,,3.92,0.0821,0.025,51.3,,31,0.43,,,,0.29
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,3,2,2,0.65,1.39,3.35,4,1.96,,4,0.0668,0.029,51.4,,37,0.39,,,,0.33
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,3,3,2,0.61,1.36,3.56,4.17,2.2,,4.17,0.0767,0.029,59,,34,0.47,,,,0.24
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,3,4,2,1.31,2.62,7.144,8.454,4.52,,8.45,0.1298,0.035,86.6,,36,0.53,,,,0.33
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,3,5,2,0.87,1.77,4.54,5.41,2.77,,5.41,0.0895,0.031,68.9,,40,0.44,,,,0.3
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,3,7,2,0.7,1.59,4.459,5.159,2.87,,5.16,0.097,0.03,74.7,,31,0.43,,,,0.36
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,3,11,2,1.03,2.33,5.212,6.242,2.88,,6.24,0.0885,0.033,80.5,,36,0.52,,,,0.3
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,6,2,2,2.11,4.43,8.84,10.95,4.41,,10.95,0.1379,0.032,86.2,,52,0.62,,,,0.29
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,6,3,2,2.09,4.36,11.68,13.77,7.32,,13.77,0.2497,0.029,146.9,,45,0.58,,,,0.37
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,6,4,2,2.01,3.48,8.5,10.51,5.02,,10.51,0.1496,0.034,106.9,,49,0.55,,,,0.31
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,6,5,2,2.11,4.8,10.03,12.14,5.23,,12.14,0.1615,0.032,179.5,,50,0.64,,,,0.3
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,6,6,2,2.13,3.87,8.29,10.42,4.42,,10.42,0.1257,0.035,96.7,,42,0.61,,,,0.32
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,6,7,2,1.76,4.42,10.24,12,5.82,,12,0.1727,0.034,101.6,,47,0.64,,,,0.3
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,6,8,2,1.56,2.58,7.5,9.06,4.92,,9.06,0.1552,0.032,119.4,,42,0.56,,,,0.25
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,6,9,2,2.31,4.46,9.88,12.19,5.42,,12.19,0.184,0.029,115,,46,0.62,,,,0.33
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,6,11,2,2.16,3.64,9.51,11.67,5.87,,11.67,0.1752,0.034,116.8,,37,0.61,,,,0.33
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,12,1,2,2.04,3.08,7,9.04,3.92,,9.04,0.1012,0.039,72.3,,42,0.5,,,,0.38
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,12,2,2,2.95,4.22,9.14,12.09,4.92,,12.09,0.1476,0.033,98.4,,37,0.66,,,,0.33
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,12,3,2,2.68,4.19,7.699,10.379,3.51,,10.38,0.0782,0.045,65.1,,37,0.62,,,,0.37
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,12,5,2,4,7.4,13.52,17.52,6.12,,17.52,0.1439,0.043,130.8,,48,0.68,,,,0.42
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,12,6,2,4.17,5.22,12.285,16.455,7.07,,16.46,0.1723,0.041,156.6,,41,0.62,,,,0.43
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,12,7,2,2.23,3.56,6.59,8.82,3.03,,8.82,0.0811,0.037,62.4,,46,0.51,,,,0.39
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,12,8,2,1.95,2.94,6.6,8.55,3.66,,8.55,0.0985,0.037,89.5,,34,0.56,,,,0.35
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,12,9,2,3.41,4.68,8.38,11.79,3.7,,11.79,0.0975,0.038,121.9,,40,0.59,,,,0.44
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,12,10,2,2.21,2.62,5.7,7.91,3.08,,7.91,0.0806,0.038,62,,32,0.46,,,,0.49
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,12,11,2,1.58,2.47,5.97,7.55,3.5,,7.55,0.107,0.033,107,,43,0.53,,,,0.26
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,12,12,2,2.71,4.27,8.063,10.773,3.79,,10.77,0.098,0.039,65.3,,46,0.53,,,,0.43
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,25,1,2,3.59,4.96,9.53,13.12,4.57,,13.12,0.1079,0.042,60,,36,0.67,,,,0.4
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,25,2,2,3.11,5.32,10.1,13.21,4.78,,13.21,0.103,0.046,73.6,,40,0.72,,,,0.33
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,25,3,2,3.76,5.89,10.21,13.97,4.32,,13.97,0.09,0.048,75,,40,0.77,,,,0.32
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,25,4,2,2.42,3.39,6.95,9.37,3.56,,9.37,0.0919,0.039,57.4,,37,0.62,,,,0.31
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,25,5,2,1.56,2.07,4.38,5.94,2.31,,5.94,0.0618,0.037,51.5,,30,0.46,,,,0.42
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,25,6,2,4.03,5.67,9.813,13.843,4.14,,13.84,0.088,0.047,62.9,,38,0.7,,,,0.39
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,25,7,2,4.73,6.8,12.38,17.11,5.58,,17.11,0.1198,0.047,149.8,,40,0.72,,,,0.42
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,25,8,2,3.3,4.73,8.691,11.991,3.96,,11.99,0.0867,0.046,72.2,,42,0.73,,,,0.28
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,25,9,2,4.2,5.4,10.72,14.92,5.32,,14.92,0.1274,0.042,91,,43,0.69,,,,0.34
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,25,10,2,1.98,3.3,6.9,8.88,3.6,,8.88,0.0943,0.038,72.5,,35,0.61,,,,0.32
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,25,11,2,2.26,2.95,6.34,8.6,3.39,,8.6,0.0767,0.044,69.7,,34,0.56,,,,0.36
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,50,1,2,3.57,3.95,7.27,10.84,3.32,,10.84,0.0533,0.062,48.4,,32,0.61,,,,0.43
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,50,2,2,3.61,4.99,10.44,14.05,5.45,,14.05,0.1,0.055,66.7,,42,0.69,,,,0.33
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,50,3,2,3.9,3.83,7.53,11.43,3.7,,11.43,0.0646,0.057,43,,31,0.63,,,,0.4
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,50,4,2,3.45,4.19,8.473,11.923,4.28,,11.92,0.0819,0.052,58.5,,34,0.64,,,,0.39
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,50,5,2,3.61,3.73,6.83,10.44,3.1,,10.44,0.0572,0.054,44,,34,0.69,,,,0.3
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,50,6,2,3.08,2.93,5.63,8.71,2.7,,8.71,0.0586,0.046,45.1,,28,0.64,,,,0.33
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,50,7,2,2.65,3.28,7.4,10.05,4.12,,10.05,0.0836,0.049,59.7,,31,0.56,,,,0.42
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,50,9,2,3.25,4.22,8.167,11.417,3.95,,11.42,0.0786,0.05,52.4,,31,0.64,,,,0.43
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,50,10,2,1.84,2.25,4.5,6.34,2.25,,6.34,0.0433,0.052,33.3,,30,0.5,,,,0.39
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,50,11,2,3.33,2.81,5.09,8.42,2.28,,8.42,0.0416,0.055,37.8,,28,0.52,,,,0.48
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,50,12,2,4.1,4.57,8.44,12.54,3.87,,12.54,0.0712,0.054,59.3,,34,0.64,,,,0.41
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,100,1,2,2.43,2.65,5.34,7.77,2.69,,7.77,0.0443,0.061,34.1,,28,0.57,,,,0.38
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,100,2,2,1.54,1.35,2.48,4.02,1.13,,4.02,0.0178,0.064,14.8,,21,0.47,,,,0.37
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,100,3,2,1.74,1.5,2.73,4.47,1.23,,4.47,0.018,0.068,18,,26,0.45,,,,0.38
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,100,5,2,3.69,4.12,8.045,11.735,3.93,,11.74,0.0624,0.063,39,,29,0.7,,,,0.37
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,100,6,2,1.26,1.32,2.3,3.56,0.98,,3.56,0.0114,0.086,11.4,,21,0.44,,,,0.43
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,100,7,2,1.63,1.76,3.49,5.12,1.73,,5.12,0.0303,0.057,21.6,,26,0.54,,,,0.31
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,100,8,2,0.98,0.82,1.84,2.82,1.02,,2.82,0.0185,0.055,18.5,,19,0.4,,,,0.36
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,100,10,2,1.6,1.4,2.7,4.3,1.3,,4.3,0.0195,0.067,16.2,,27,0.49,,,,0.28
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,100,11,2,4.4,4.99,10.354,14.754,5.36,,14.75,0.0704,0.076,44,,28,0.8,,,,0.35
MAR,Swietenia macrophylla,Meliaceae,EA,161,,CG,100,12,2,3.74,6.02,11.809,15.549,5.79,,15.55,0.093,0.062,58.1,,30,0.84,,,,0.36
MAR,Swietenia macrophylla,Meliaceae,EA,0,,CG,3,1,1,0.062,0.17,0.354,0.416,0.184,,0.416,0.009,0.02,18.1,,22,,,,,
MAR,Swietenia macrophylla,Meliaceae,EA,0,,CG,3,2,1,0.051,0.172,0.35,0.401,0.178,,0.488,0.0082,0.022,16.4,,21,,,,,
MAR,Swietenia macrophylla,Meliaceae,EA,0,,CG,3,3,1,0.045,0.171,0.383,0.428,0.212,,0.428,0.0095,0.022,15.9,,25,,,,,
MAR,Swietenia macrophylla,Meliaceae,EA,0,,CG,3,4,1,0.016,0.141,0.257,0.273,0.116,,0.47,0.0062,0.019,15.5,,26,,,,,
MAR,Swietenia macrophylla,Meliaceae,EA,0,,CG,3,5,1,0.039,0.176,0.406,0.445,0.23,,0.445,0.0102,0.022,20.4,,29,,,,,
MAR,Swietenia macrophylla,Meliaceae,EA,0,,CG,3,6,1,0.04,0.196,0.383,0.423,0.187,,0.423,0.0088,0.021,17.7,,29,,,,,
MAR,Swietenia macrophylla,Meliaceae,EA,0,,CG,6,1,1,0.059,0.203,0.451,0.51,0.248,,0.51,0.0104,0.024,20.8,,25,,,,,
MAR,Swietenia macrophylla,Meliaceae,EA,0,,CG,6,2,1,0.086,0.196,0.471,0.557,0.275,,0.557,0.0117,0.024,16.7,,20,,,,,
MAR,Swietenia macrophylla,Meliaceae,EA,0,,CG,6,3,1,0.049,0.134,0.321,0.37,0.187,,0.37,0.0083,0.023,20.7,,20,,,,,
MAR,Swietenia macrophylla,Meliaceae,EA,0,,CG,6,4,1,0.069,0.196,0.462,0.531,0.266,,0.604,0.0119,0.022,17,,25,,,,,
MAR,Swietenia macrophylla,Meliaceae,EA,0,,CG,6,5,1,0.029,0.176,0.384,0.413,0.208,,0.413,0.0092,0.023,18.4,,23,,,,,
MAR,Swietenia macrophylla,Meliaceae,EA,0,,CG,6,6,1,0.07,0.242,0.554,0.624,0.312,,0.715,0.0138,0.023,27.6,,30,,,,,
MAR,Swietenia macrophylla,Meliaceae,EA,0,,CG,6,7,1,0.084,0.217,0.484,0.568,0.267,,0.66,0.0114,0.023,19,,26,,,,,
