Tree_no,Family,Genera,species,growth_form,dbh_95,Dbh_2004,tree_ht,Fork_ht,crown_depth,cr_width,crown_sil_area,rel_cr_width
2,Dipterocarpaceae,Shorea,Shorea_parvifol,canopy,8.8,12.9,11.7,9.7812,1.9188,5.72,8.623635429,0.488888889
904,Dipterocarpaceae,Shorea,Shorea_parvifol,canopy,11.1,14,14.28,11.445,2.835,4.23,9.422325,0.296218487
976,Dipterocarpaceae,Shorea,Shorea_parvifol,canopy,23.7,24.7,23.66,21.375,2.285,4.775,8.572830357,0.201817413
710,Dipterocarpaceae,Shorea,Shorea_parvifol,canopy,32.6,34,24.19,18.2144,5.9756,7.77,36.481038,0.32120711
57,Dipterocarpaceae,Shorea,Shorea_parvifol,canopy,24.9,29.8,27.44,19.548,7.892,9.7,60.14831429,0.353498542
263,Dipterocarpaceae,Shorea,Shorea_parvifol,canopy,44.5,47,32.43,28.9698,3.4602,8.6,23.38106571,0.265186556
292,Dipterocarpaceae,Shorea,Shorea_parvifol,canopy,60.9,64,52.12,28.0672,24.0528,6.635,125.3924006,0.127302379
1021,Dipterocarpaceae,Shorea,Shorea_parvifol,canopy,57.6,60,53.1,39.825,13.275,11.005,114.7860804,0.207250471
228,Myrtaceae,Syzygium,Syz_sp_2,canopy,7.7,7.8,7.686,4.27,3.416,2.46,6.60264,0.320062451
375,Myrtaceae,Syzygium,Syz_sp_2,canopy,6.5,6.7,9.2,5.98,3.22,4.31,10.9043,0.468478261
987,Myrtaceae,Syzygium,Syz_sp_2,canopy,5.5,5.7,9.2745,4.2594,5.0151,2.08,8.196106286,0.22427085
985,Myrtaceae,Syzygium,Syz_sp_2,canopy,6.5,6.6,9.435,7.225,2.21,4.125,7.162767857,0.437201908
233,Myrtaceae,Syzygium,Syz_sp_2,canopy,6.1,6.3,9.724,7.956,1.768,2.125,2.951928571,0.218531469
270,Myrtaceae,Syzygium,Syz_sp_2,canopy,5,5.9,9.9328,4.8888,5.044,2.42,9.590805714,0.243637242
241,Myrtaceae,Syzygium,Syz_sp_2,canopy,7.2,7.2,10.725,4.5,6.225,2.6,12.71678571,0.242424242
615,Myrtaceae,Syzygium,Syz_sp_2,canopy,7.4,10.2,15.4682,9.559,5.9092,5.2,24.14330286,0.336173569
672,Myrtaceae,Syzygium,Syz_sp_2,canopy,5.8,7.6,16.1,10,6.1,1.475,7.069464286,0.091614907
580,Myrtaceae,Syzygium,Syz_sp_2,canopy,19.4,21.9,16.2,13.5,2.7,#NULL!,#NULL!,#NULL!
887,Myrtaceae,Syzygium,Syz_sp_2,canopy,5.6,5.8,16.9,9.9,7,1.95,10.725,0.115384615
22,Myrtaceae,Syzygium,Syz_sp_2,canopy,25.4,28.9,21.252,9.548,11.704,8.65,79.5454,0.407020516
175,Myrtaceae,Syzygium,Syz_sp_2,canopy,20.2,22.5,21.692,15.544,6.148,7.05,34.05552857,0.32500461
10,Myrtaceae,Syzygium,Syz_sp_2,canopy,17.2,22.9,22.8,17.16,5.64,8.69,38.50911429,0.381140351
33,Myrtaceae,Syzygium,Syz_sp_2,canopy,62.3,70.94,23.68,17.908,5.772,16.75,75.96364286,#NULL!
781,Myrtaceae,Syzygium,Syz_sp_2,canopy,33.9,40.6,26.825,23.925,2.9,8.935,20.35903571,0.333084809
230,Myrtaceae,Syzygium,Syz_sp_2,canopy,65,72.01,27.522,17.226,10.296,9.7,78.47022857,0.352445316
